lat,lng,fai,date
-39.22314,-72.0863,0.0,2026-08-22
-39.22314,-72.08288,0.0,2026-08-22
-39.22314,-72.07945,0.0,2026-08-22
-39.22314,-72.07603,0.00013,2026-08-22
-39.22314,-72.0726,0.0,2026-08-22
-39.22314,-72.06918,0.0,2026-08-22
-39.22314,-72.06575,0.0,2026-08-22
-39.22314,-72.06233,0.0,2026-08-22
-39.22314,-72.0589,0.0,2026-08-22
-39.22314,-72.05548,0.0,2026-08-22
-39.22314,-72.05205,0.0,2026-08-22
-39.22314,-72.04863,0.0,2026-08-22
-39.22314,-72.04521,0.0,2026-08-22
-39.22314,-72.04178,0.0,2026-08-22
-39.22314,-72.03836,0.0,2026-08-22
-39.22314,-72.03493,0.0,2026-08-22
-39.22314,-72.03151,0.0,2026-08-22
-39.22314,-72.02808,0.0,2026-08-22
-39.22314,-72.02466,0.0,2026-08-22
-39.22314,-72.02123,-0.00011,2026-08-22
-39.22314,-72.01781,-0.00021,2026-08-22
-39.22603,-72.18562,0.0,2026-08-22
-39.22603,-72.18219,0.0,2026-08-22
-39.22603,-72.17877,-7e-05,2026-08-22
-39.22603,-72.17534,0.0,2026-08-22
-39.22603,-72.17192,0.0004,2026-08-22
-39.22603,-72.16849,0.0,2026-08-22
-39.22603,-72.16507,0.00078,2026-08-22
-39.22603,-72.16164,0.0,2026-08-22
-39.22603,-72.15822,0.0,2026-08-22
-39.22603,-72.15479,0.0,2026-08-22
-39.22603,-72.15137,0.0,2026-08-22
-39.22603,-72.14795,0.0,2026-08-22
-39.22603,-72.14452,0.0,2026-08-22
-39.22603,-72.1411,0.0,2026-08-22
-39.22603,-72.13767,4e-05,2026-08-22
-39.22603,-72.13425,0.0,2026-08-22
-39.22603,-72.13082,0.0001,2026-08-22
-39.22603,-72.1274,0.0,2026-08-22
-39.22603,-72.12397,0.0,2026-08-22
-39.22603,-72.12055,0.0,2026-08-22
-39.22603,-72.11712,0.0008,2026-08-22
-39.22603,-72.1137,0.0,2026-08-22
-39.22603,-72.11027,0.0,2026-08-22
-39.22603,-72.10685,0.0001,2026-08-22
-39.22603,-72.10342,0.0004,2026-08-22
-39.22603,-72.1,-9e-05,2026-08-22
-39.22603,-72.09658,0.0,2026-08-22
-39.22603,-72.09315,0.0,2026-08-22
-39.22603,-72.08973,-7e-05,2026-08-22
-39.22603,-72.0863,0.0,2026-08-22
-39.22603,-72.08288,0.0,2026-08-22
-39.22603,-72.07945,0.0,2026-08-22
-39.22603,-72.07603,0.0005,2026-08-22
-39.22603,-72.0726,0.0,2026-08-22
-39.22603,-72.06918,0.0,2026-08-22
-39.22603,-72.06575,0.0,2026-08-22
-39.22603,-72.06233,0.0002,2026-08-22
-39.22603,-72.0589,-7e-05,2026-08-22
-39.22603,-72.05548,0.0007,2026-08-22
-39.22603,-72.05205,0.0,2026-08-22
-39.22603,-72.04863,0.0,2026-08-22
-39.22603,-72.04521,0.0001,2026-08-22
-39.22603,-72.04178,0.0,2026-08-22
-39.22603,-72.03836,-9e-05,2026-08-22
-39.22603,-72.03493,0.0,2026-08-22
-39.22603,-72.03151,0.0,2026-08-22
-39.22603,-72.02808,0.0,2026-08-22
-39.22603,-72.02466,0.0,2026-08-22
-39.22603,-72.02123,0.0,2026-08-22
-39.22603,-72.01781,0.0,2026-08-22
-39.22603,-72.01438,0.0,2026-08-22
-39.22603,-72.01096,0.0,2026-08-22
-39.22603,-72.00753,0.0,2026-08-22
-39.22892,-72.18904,-0.00013,2026-08-22
-39.22892,-72.18562,0.0,2026-08-22
-39.22892,-72.18219,-4e-05,2026-08-22
-39.22892,-72.17877,0.0001,2026-08-22
-39.22892,-72.17534,0.0,2026-08-22
