station_id,anchor_date,target_date,horizon_days,fai_q10,fai_q50,fai_q90,n_pixels,alert_threshold
lake,2026-04-02,2026-04-09,7,-0.0012187802579512069,9.996576585071193e-05,0.0013679694057688368,1851,0.00381
pucon,2026-04-04,2026-04-09,5,-0.0027561501387037717,-0.0006407032277289806,0.0014510871124767707,25,0.00381
norte,2026-04-04,2026-04-09,5,-0.00024157712345481387,0.00034214097470032544,0.0011861377453917703,25,0.00381
tolten,2026-04-04,2026-04-09,5,-0.0019089247970636705,-0.0005773599208378674,0.0032638696044575218,25,0.00381
sur,2026-04-04,2026-04-09,5,-0.0023236739257562417,-0.0010463237720224584,6.676233252202965e-05,25,0.00381
lake,2026-04-04,2026-04-09,5,-0.0010856090931569997,-5.394832209619824e-05,0.0010958259900803286,1845,0.00381
pucon,2026-05-09,2026-05-17,8,-0.0022663351052577183,0.00026302305304521544,0.003339475081352144,25,0.00381
norte,2026-05-09,2026-05-17,8,-0.0003148486558223869,0.0002925285051416649,0.0013994168968662793,25,0.00381
tolten,2026-05-09,2026-05-17,8,-0.0019123975645462237,-0.0006518707355794988,0.003340969137122126,25,0.00381
sur,2026-05-09,2026-05-17,8,-0.0021391068948269937,-0.001015103135871007,0.0003877217441986189,25,0.00381
lake,2026-05-09,2026-05-17,8,-0.0010408530680317135,-1.7316422068037406e-05,0.0014800255984620393,1846,0.00381
pucon,2026-05-14,2026-05-21,7,-0.00306823469600794,1.4794727187941994e-05,0.0035664330053285748,25,0.00381
norte,2026-05-14,2026-05-21,7,-0.0007531544890352032,0.00020920728387329284,0.0014927606472414845,25,0.00381
tolten,2026-05-14,2026-05-21,7,-0.00238017699561914,-0.0004993777272067578,0.003939056012009644,25,0.00381
sur,2026-05-14,2026-05-21,7,-0.00231359813509245,0.0009880172939951042,0.0033368561016895314,25,0.00381
lake,2026-05-14,2026-05-21,7,-0.0014806485963214345,2.0232258972306675e-05,0.0017586094904938534,1650,0.00381
pucon,2026-05-17,2026-05-22,5,-0.00323636629865803,-0.0007826426078954911,0.0020734341029220323,25,0.00381
norte,2026-05-17,2026-05-22,5,-0.0004459306081873407,0.00025334942755454395,0.0014254101746967321,25,0.00381
tolten,2026-05-17,2026-05-22,5,-0.002199588413885993,-0.000833177254983061,0.00328200545230996,25,0.00381
sur,2026-05-17,2026-05-22,5,-0.002354241805106852,-0.0011173028057288481,0.000349654715624409,25,0.00381
lake,2026-05-17,2026-05-22,5,-0.001201471129618746,-0.00010528235660106274,0.0015252876563604898,1849,0.00381
pucon,2026-06-08,2026-06-16,8,-0.0034933386396126974,-0.0007067760356294392,0.00199114571197647,25,0.00381
norte,2026-06-08,2026-06-16,8,-0.0010912258492206805,7.526006299839565e-05,0.0014958344304201404,25,0.00381
tolten,2026-06-08,2026-06-16,8,-0.0027262977221468167,-0.0008307174413180522,0.0032479818451885,25,0.00381
sur,2026-06-08,2026-06-16,8,-0.002110395966703366,0.0006497878954616532,0.004567443991808529,25,0.00381
lake,2026-06-08,2026-06-16,8,-0.001750003833232648,-0.00016970165137884178,0.0016222670900927023,1847,0.00381
pucon,2026-07-03,2026-07-11,8,-0.00388242295301223,-0.00022439919153956596,0.003050438786979762,25,0.00381
norte,2026-07-03,2026-07-11,8,-0.0016531694276178581,0.00022368941618730573,0.002172275955117379,25,0.00381
tolten,2026-07-03,2026-07-11,8,-0.004140746459140494,-0.0011445095382371425,0.004435254360240556,25,0.00381
sur,2026-07-03,2026-07-11,8,-0.002433406178986118,0.0007240135478231197,0.005030155363003035,25,0.00381
lake,2026-07-03,2026-07-11,8,-0.0024051840181631458,-5.6863587757257694e-05,0.0024520901026233457,1850,0.00381
pucon,2026-08-12,2026-08-17,5,-0.006891153524922853,-0.00039701886825699854,0.005441269809176189,25,0.00381
norte,2026-08-12,2026-08-17,5,-0.0027339930386449645,-0.00014870850507910338,0.002516001605455507,25,0.00381
tolten,2026-08-12,2026-08-17,5,-0.006496282745913017,-0.0008355298668167513,0.006202824316405323,25,0.00381
sur,2026-08-12,2026-08-17,5,-0.003975832365915373,0.0010407276819027317,0.0046685279764650455,25,0.00381
lake,2026-08-12,2026-08-17,5,-0.0037362795489839754,-0.00031849674019648064,0.003032963416397002,1850,0.00381
pucon,2026-08-17,2026-08-22,5,-0.0069606953972529105,-2.756717019655949e-05,0.005428483477626477,25,0.00381
norte,2026-08-17,2026-08-22,5,-0.003123266218238004,-0.0002591075857837116,0.002569636626621467,25,0.00381
tolten,2026-08-17,2026-08-22,5,-0.006925556539385191,-0.0015052569183044114,0.005587513923617325,25,0.00381
sur,2026-08-17,2026-08-22,5,-0.004561175189834429,0.0007908698660267802,0.004631595744186325,25,0.00381
lake,2026-08-17,2026-08-22,5,-0.004067515942140012,-0.00046226033323638183,0.0030402674667169296,1852,0.00381
